minor_name,status,index_source
Accounting,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Biology,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Biomedical Sciences,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Black Studies,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Business Essentials,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Caribbean Studies,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Chemistry,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Child and Youth Services,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Communication Design,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Computer Science,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Corporate Strategy and Communications,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Criminology,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Curatorial Studies,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Cyber Studies,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Disability Studies,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
eBusiness,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Economics,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
English,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Entrepreneurship and Innovation,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Environmental Health,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Ethics,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Events and Live Entertainment Management,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Environmental and Urban Sustainability,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Family Supports and Community Practice,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Fashion Studies,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Film (Cinema) Studies,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Finance,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
"Food, Culture and Society",uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
French,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Geographic Analysis,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Geography,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Global Management,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Global Narratives,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Global Politics and Development,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Health Services Management,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
History,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Human Resources Management,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Indigenous Thought,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Information Technology Management,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Innovation and Zone Learning,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Labour and Employment Relations,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Law,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
LGBTQ2S+ Studies,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Marketing,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Mathematics,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Middle East and North Africa (MENA) Studies,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Music and Culture,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
News Studies,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Nonprofit and Voluntary Sector Management,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Occupational Health and Safety,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Organizational Leadership,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Performance,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Philosophy,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Photography Media Arts,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Physics,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Politics,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Professional Communication,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Psychology,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Public Administration,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Public Health,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Public Relations,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Real Estate Management,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Retail and Services Management,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Sales Management and Service Quality,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Social Innovation,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Sociology,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Spanish,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Tourism,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
Visual Studies,uncollected,https://www.torontomu.ca/calendar/2026-2027/minors/
