program_name,faculty,entry_type,status,index_source
Arts and Contemporary Studies,Faculty of Arts,program,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
Criminology,Faculty of Arts,program,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
Criminology and History Double Major,Faculty of Arts,double_major,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
Criminology and Politics and Governance Double Major,Faculty of Arts,double_major,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
Criminology and Sociology Double Major,Faculty of Arts,double_major,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
Economics and Finance,Faculty of Arts,program,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
English,Faculty of Arts,program,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
English and History Double Major,Faculty of Arts,double_major,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
English and Philosophy Double Major,Faculty of Arts,double_major,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
Environmental and Urban Sustainability,Faculty of Arts,program,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
Geographic Analysis,Faculty of Arts,program,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
History,Faculty of Arts,program,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
History and Philosophy Double Major,Faculty of Arts,double_major,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
History and Politics and Governance Double Major,Faculty of Arts,double_major,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
History and Sociology Double Major,Faculty of Arts,double_major,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
Language and Intercultural Relations,Faculty of Arts,program,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
Philosophy,Faculty of Arts,program,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
Politics and Governance,Faculty of Arts,program,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
Politics and Governance and Sociology Double Major,Faculty of Arts,double_major,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
Psychology,Faculty of Arts,program,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
Public Administration and Governance,Faculty of Arts,program,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
Sociology,Faculty of Arts,program,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
Undeclared Arts (First Year Studies Only),Faculty of Arts,first_year_plan,uncollected,https://www.torontomu.ca/calendar/2026-2027/programs/
